סמל היישוב,שם יישוב,"ממוצע תלמידים לכיתה בבתי ספר יסודיים תשע""ט 2018/19","אחוז תלמידים נושרים סה""כ תשע""ט 2018/19","אחוז זכאים לתעודת בגרות מבין תלמידי כיתות יב תשע""ט 2018/19","אחוז זכאים לתעודת בגרות שעמדו בדרישות הסף של האוניברסיטאות מבין תלמידי כיתות יב תשע""ט 2018/19","השכלה גבוהה אחוז בעלי תארים מישראל מתוך אוכלוסיית בני 55-35 תש""ף 2019/20","השכלה גבוהה אחוז הנכנסים להשכלה גבוהה בתוך 8 שנים בקרב תלמידי יב תש""ף 2019/20","השכלה גבוהה אחוז סטודנטים מתוך כלל האוכלוסייה תש""ף 2019/20",עובדי הוראה מספר עובדי הוראה,עובדי הוראה אחוז בעלי דרגת שכר תואר שני ומעלה,עובדי הוראה ממוצע תלמידים למורה,עובדי הוראה ממוצע שעות עבודה שבועיות לתלמיד
"6,800",קריית אתא,28.09,1.38,76.96,60.09,20.88,42.5,2.53,953,36.1,11.3,2.73
"9,500",קריית ביאליק,27.21,1.45,78.89,68.44,26.57,34.3,2.63,593,40.13,11.03,2.85
"2,630",קריית גת,24.56,1.13,63.8,50.95,13.83,23.4,2.14,"1,113",35.13,10.2,3.15
"2,300",קריית טבעון,27.09,1.28,80.8,78.13,54.58,50.1,3.9,342,40.35,9.44,3.25
"9,600",קריית ים,26.01,1.7,66.92,48.74,13.46,35.2,1.93,619,36.35,9.58,3.22
"1,137",קריית יערים,24.88,1.69,24.07,18.52,15.67,..,2.13,87,18.39,13.98,1.5
"8,200",קריית מוצקין,27.98,0.94,79.15,71.49,28.99,38.3,2.78,636,38.68,11.02,2.92
"1,034",קריית מלאכי,23.56,1.35,65.2,54.86,12.15,27.1,2.07,569,36.03,9.77,3.16
469,קריית עקרון,26.62,1.62,72.46,55.07,15.5,35.7,2.68,134,43.28,17.66,1.63
"2,800",קריית שמונה,23.32,0.62,63.4,51.31,14.34,38.5,4.43,545,35.78,8.14,3.93
